DUEL_BLOCK_CHANGE_ITEM	[x] Change Item
TARGET_INFO_RACE_ELEC	Simsek 
TARGET_INFO_RACE_FIRE	Ates
TARGET_INFO_RACE_HUMAN	Yari adam
TARGET_INFO_RACE_ICE	buz
TARGET_INFO_RACE_MILGYO	Ezoterik 
TARGET_INFO_RACE_ORC	Orklar
TARGET_INFO_RACE_UNDEAD	Ölü yasayan
TARGET_INFO_RACE_WIND	rüzgar
TARGET_INFO_STONE_NAME	Ruh tasi
TARGET_INFO_SUBRACE	Alt yaris : %s
CHANGE_LOOK_FAILURE_CLEAN	Bu öge henüz dönüstürülmedi.
CHANGE_LOOK_DO_YOU_CLEAN	Dönüstürülen ögeyi kaldirmak istiyor musunuz?
CHANGE_LOOK_CHANGE_ITEM	Bu ögeyi dönüstürmek istiyor musunuz?
CHANGE_LOOK_COST	Dönüsüm maliyeti: %s Yang
CHANGE_LOOK_DEL_ITEM	Emilen öge silinecek.
CHANGE_LOOK_TITLE	Dönüsüm
TITLE_NAME	Baslik sistemi
TITLE_CHARACTER	Istatistik
TITLE_CURRENT_NAME	Mevcut baslik:
TITLE_LEVEL	Seviye:
TITLE_TOTAL_AMOUNT	Yang:
TITLE_MINUTES_PLAYED	Oyun zamani:
TITLE_SELECT_INFO	Bilgi için listeden bir baslik seçin!
TITLE_UNBLOCK	Baslik:
TITLE_LIST_NAME	Tittlel adi:
TITLE_INFO_ACTIVATE	Bu baslik için neye ihtiyaciniz var:
TITLE_WELCOME	
TITLE_PREMIUM	<- Premium baslik - >
TITLE_FREE	<- Ücretsiz basliklar - >
TITLE_SHOPPING_AREA	Baslik sistemi magazasi
TITLE_CHANGE_FREE	Ücretsiz basliklar
TITLE_CHANGE_TITLE_PREMIUM	Premium basliklari degistirin
TITLE_TRANSFORM_PREMIUM	Iksir için baslik degistir
TITLE_QUESTIONDIALOG_CHANGE	Bu unvani takmak istediginizden emin misiniz?
TITLE_NEED_ACTIVATE_INFO	bilgi:
TITLE_BUY_POTIONS_INFO	Baslik sistemi magazasindan iksir satin alabilirsiniz!
TITLE_TRANSFORM_DIALOGQUESTION	Bu basligi birakmak istediginizden emin misiniz?
TITLE_QUESTIONDIALOG_POTION	Bu iksiri satin almak istiyor musun?
TITLE_QUESTWARNING_POTION	Bir iksir seçin!
TITLE_POTION_INFO	bilgi:
TITLE_WARNING_DIALOG	Basligi gerçekten degistirmek istiyor musun?
TITLE_REQUEST_INFO	bilgi:
TITLE_POTION_	Iksir Satin Al
TITLE_POTION_SELECT	<- Bir iksir seçin - >
TITLE_POTION_TITLE	Baslik sistemi magazasi
TITLE_POTION_TEXT_1	Bir baslik seçin!
TITLE_POTION_TEXT_2	Bu iksir baslik içindir:
TITLE_POTION_TEXT_3	Baslik adi:
TITLE_POTION_TEXT_4	Ne satin almaniz gerekiyor:
TITLE_TARGETS_LEVEL_0	
TITLE_TARGETS_LEVEL_1	Seviye: 4.
TITLE_TARGETS_LEVEL_2	Seviye: 16.
TITLE_TARGETS_LEVEL_3	Seviye: 29.
TITLE_TARGETS_LEVEL_4	Seviye: 46.
TITLE_TARGETS_LEVEL_5	Seviye: 57.
TITLE_TARGETS_LEVEL_6	Seviye: 69.
TITLE_TARGETS_LEVEL_7	Seviye: 76.
TITLE_TARGETS_LEVEL_8	Seviye: 82.
TITLE_TARGETS_LEVEL_9	Seviye: 87.
TITLE_TARGETS_LEVEL_10	Seviye: 99.
TITLE_TARGETS_LEVEL_11	Seviye: 108.
TITLE_TARGETS_LEVEL_12	Seviye: 117.
TITLE_TARGETS_LEVEL_13	Seviye: 129.
TITLE_TARGETS_LEVEL_14	Seviye: 136.
TITLE_TARGETS_LEVEL_15	Seviye: 141.
TITLE_TARGETS_LEVEL_16	Seviye: 150.
TITLE_TARGETS_MONEY_0	
TITLE_TARGETS_MONEY_1	 500.000 yang.
TITLE_TARGETS_MONEY_2	 1.000.000 yang.
TITLE_TARGETS_MONEY_3	 4.800.000 yang.
TITLE_TARGETS_MONEY_4	 6.300.000 yang.
TITLE_TARGETS_MONEY_5	 7.500.000 yang.
TITLE_TARGETS_MONEY_6	 12.000.000 yang.
TITLE_TARGETS_MONEY_7	 17.000.000 yang.
TITLE_TARGETS_MONEY_8	 24.000.000 yang.
TITLE_TARGETS_MONEY_9	 40.000.000 yang.
TITLE_TARGETS_MONEY_10	 55.000.000 yang.
TITLE_TARGETS_MONEY_11	 75.000.000 yang.
TITLE_TARGETS_MONEY_12	 90.000.000 yang.
TITLE_TARGETS_MONEY_13	 100.000.000 yang.
TITLE_TARGETS_MONEY_14	 300.000.000 yang.
TITLE_TARGETS_MONEY_15	 500.000.000 yang.
TITLE_TARGETS_MONEY_16	 1.000.000.000 yang.
TITLE_TARGETS_MINUTES_PLAYED_0	
TITLE_TARGETS_MINUTES_PLAYED_1	5 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_2	27 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_3	69 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_4	88 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_5	106 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_6	143 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_7	190 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_8	210 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_9	330 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_10	420 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_11	690 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_12	750 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_13	1.500 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_14	3.000 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_15	6.000 dakikalik oyun süresi.
TITLE_TARGETS_MINUTES_PLAYED_16	12.000 dakikalik oyun süresi.
TITLE_PREMIUM_INFO_OBJECT_0	1x Sari iksir.
TITLE_PREMIUM_INFO_OBJECT_1	1x Pembe iksir.
TITLE_PREMIUM_INFO_OBJECT_2	1x Beyaz iksir.
TITLE_PREMIUM_INFO_BONUS_0	Bonus: Max. HP + 3000
TITLE_PREMIUM_INFO_BONUS_1	Bonus: Delici vurus sansi + 10%
TITLE_PREMIUM_INFO_BONUS_2	Bonus: Kritik Vurus Sansi + 10%
TITLE_POTION_COLOR_0	Yellow_dot
TITLE_POTION_COLOR_1	Pinker_trank
TITLE_POTION_COLOR_2	White_dot
TITLE_POTION_PRICE_COINS_COLOR_0	maliyetler: 50 Coins
TITLE_POTION_PRICE_COINS_COLOR_1	maliyetler: 100 Coins
TITLE_POTION_PRICE_COINS_COLOR_2	maliyetler: 150 Coins
TITLE_INDEX_0	Yok
TITLE_INDEX_1	[Ilahi]
TITLE_INDEX_2	[Efsanevi]
TITLE_INDEX_3	[Vicdansiz]
TITLE_INDEX_4	[Durdurulamaz]
TITLE_INDEX_5	[Imparator]
TITLE_INDEX_6	[<3]
TITLE_INDEX_7	[Baskin]
TITLE_INDEX_8	[katil]
TITLE_INDEX_9	[Tanri]
TITLE_INDEX_10	[Otaku]
TITLE_INDEX_11	[SuperSaiyaJin]
TITLE_INDEX_12	[PATRON]
TITLE_INDEX_13	[KRAL]
TITLE_INDEX_14	[Iblis]
TITLE_INDEX_15	[Öngörülemeyen]
TITLE_INDEX_16	[Temiz]
TITLE_INDEX_17	[Ödül_I]
TITLE_INDEX_18	[Ödül_II]
TITLE_INDEX_19	[Ödül_III]
TITLE_0	Yok
TITLE_1	[ÖLÇEK]
TITLE_2	[Efsanevi]
TITLE_3	[Vicdansiz]
TITLE_4	[Durdurulamaz]
TITLE_5	[Imparator]
TITLE_6	[<3]
TITLE_7	[Baskin]
TITLE_8	[katil]
TITLE_9	[Tanri]	
TITLE_10	[Otaku]
TITLE_11	[SuperSaiyaJin]
TITLE_12	[PATRON]
TITLE_13	[KRAL]
TITLE_14	[Iblis]
TITLE_15	[Öngörülemeyen]
TITLE_16	[Temiz]
TITLE_17	[Ödül I]
TITLE_18	[Ödül II]
TITLE_19	[Ödül III]
TITLE_POTION_NAME_0	Sari iksir
TITLE_POTION_NAME_1	Pembe iksir
TITLE_POTION_NAME_2	Beyaz iksir
TOOLTIP_APPLY_ATTBONUS_ELEC	Þimþeðe karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Ateþe Karþý Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Buz Karþýsýnda Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Rüzgara Karþý Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Topraða Karþý Güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Karanlýklara karþý güçlü +%d%%	SA
PROFILE_SELECT_DEFAULT	--
PROFILE_MAIN_NAME	Karakter ismi: |cFFdda804%s
CONTACT_MEMBERS_ONLINE	Çevrimiçi kisiler: %d
CONTACT_MEMBERS_OFFLINE	Çevrimdisi kisiler: %d
